language,web-dev,database,datascience,system-dev,user-interface
html,47,13,0,0,37
swift,1,1,0,3,93
javascript,54,17,1,1,25
mysql,39,52,3,0,3
java,19,28,7,5,39
python,30,39,10,4,15
c,29,43,6,12,8
c++,21,45,8,10,14
matlab,15,18,34,10,21
sql,14,78,3,0,2
